Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2012,7,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2011,8,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2010,9,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2009,10,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,,11,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2019,0,10000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2018,1,5000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2017,2,4000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2016,3,4000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2015,4,2000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2014,5,1000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2013,6,1000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,7,1000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,8,1000,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,9,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2009,10,0,
12/31/2019,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,,11,24000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2019,0,333000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2018,1,374000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2017,2,352000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2016,3,337000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2015,4,322000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2014,5,293000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,6,359000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,7,313000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,8,318000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,9,314000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2009,10,304000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2019,0,2088000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2018,1,2156000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2017,2,2167000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2016,3,2091000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2015,4,2124000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2014,5,1913000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2013,6,1913000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2012,7,1951000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2011,8,1935000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2010,9,1985000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2009,10,1736000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2019,0,102000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2018,1,123000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2017,2,140000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2016,3,139000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2015,4,134000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2014,5,103000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2013,6,131000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2012,7,105000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2011,8,135000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2010,9,117000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2009,10,105000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2019,0,769000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2018,1,833000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2017,2,944000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2016,3,900000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2015,4,1097000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2014,5,816000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2013,6,913000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2012,7,983000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2011,8,1082000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2010,9,1133000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2009,10,1029000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2019,0,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2018,1,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2017,2,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2016,3,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2015,4,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2014,5,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2013,6,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2012,7,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2011,8,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2010,9,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Aviation,Accident year,2009,10,#N/A,Data have been masked to maintain confidentiality.
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2019,0,34000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2018,1,34000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2017,2,32000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2016,3,33000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2015,4,32000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2014,5,29000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2013,6,27000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2012,7,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2011,8,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2010,9,22000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Consumer credit,Accident year,2009,10,27000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2019,0,17000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2018,1,22000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2017,2,24000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2016,3,25000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2015,4,22000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2014,5,17000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2013,6,24000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2012,7,16000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2011,8,16000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2010,9,15000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Marine,Accident year,2009,10,16000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2019,0,862000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2018,1,824000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2017,2,763000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2016,3,681000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2015,4,572000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2014,5,514000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2013,6,469000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2012,7,436000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2011,8,405000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2010,9,366000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other,Accident year,2009,10,322000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2019,0,81000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2018,1,94000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2017,2,100000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2016,3,123000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2015,4,137000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2014,5,169000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2013,6,139000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2012,7,106000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2011,8,95000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2010,9,94000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Other accident,Accident year,2009,10,102000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2019,0,247000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2018,1,264000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2017,2,227000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2016,3,212000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2015,4,220000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2014,5,183000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2013,6,172000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2012,7,176000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2011,8,184000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2010,9,166000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Other,Travel,Accident year,2009,10,114000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2019,0,0,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2018,1,0,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2017,2,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2016,3,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2015,4,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2014,5,1000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2013,6,2000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2012,7,2000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2011,8,2000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2010,9,2000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Mortgage,Mortgage,Accident year,2009,10,3000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2019,0,21000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2018,1,27000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2017,2,29000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2016,3,27000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2015,4,25000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2014,5,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2013,6,22000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2012,7,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2011,8,20000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2010,9,19000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2009,10,19000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2019,0,34000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2018,1,37000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2017,2,37000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2016,3,40000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2015,4,69000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2014,5,44000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2013,6,46000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2012,7,49000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2011,8,48000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2010,9,47000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Employers' liability,Accident year,2009,10,48000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2019,0,21000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2018,1,24000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2017,2,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2016,3,25000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2015,4,21000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2014,5,21000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2013,6,23000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2012,7,18000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2011,8,20000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2010,9,21000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2009,10,22000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2019,0,29000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2018,1,40000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2017,2,41000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2016,3,42000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2015,4,39000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2014,5,34000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2013,6,39000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,7,34000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,8,35000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,9,35000,
12/31/2019,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Long-tail,Public and product liability,Accident year,2009,10,34000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2019,,1704000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2019,,15819000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2019,,1632000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2019,,12021000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Aviation,Accident year,2019,,27000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Consumer credit,Accident year,2019,,4875000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Marine,Accident year,2019,,862000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Other,Accident year,2019,,15473000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Other accident,Accident year,2019,,5476000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Other,Travel,Accident year,2019,,10209000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Mortgage,Mortgage,Accident year,2019,,138000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2019,,15811000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Long-tail,Employers' liability,Accident year,2019,,163000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2019,,679000,
12/31/2019,Number of claims,Number of risks,Number of risks in force by class of business,Direct business,Long-tail,Public and product liability,Accident year,2019,,9545000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2008,10,1464000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2008,10,5379000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2008,10,2718000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2008,10,3859000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2008,10,96000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2008,10,240000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2008,10,465000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2008,10,526000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2008,10,818000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2008,10,559000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2008,10,622000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2008,10,2106000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2008,10,1166000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2008,10,1118000000,
12/31/2018,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2008,10,1780000000,
12/31/2018,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2008,10,3841000000,
12/31/2018,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2018,0,1783000000,
12/31/2018,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2017,1,1695000000,
12/31/2018,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2016,2,1547000000,
12/31/2018,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2015,3,1507000000,
12/31/2018,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2014,4,1309000000,
